model,rca_max_nodes,rca_max_hops,selected_nodes,mode,S_nodes,S_items,returned_items_total_ranked,gt_core_size,gt_ext_size,core_tp,core_precision,core_recall,core_f1,ext_tp,ext_precision,ext_recall,ext_f1,core_tp@5,core_P@5,core_R@5,core_k_used@5,ext_tp@5,ext_P@5,ext_R@5,ext_k_used@5,core_Hit@5,core_hit_k_used@5,core_tp@10,core_P@10,core_R@10,core_k_used@10,ext_tp@10,ext_P@10,ext_R@10,ext_k_used@10,core_Hit@10,core_hit_k_used@10,core_tp@20,core_P@20,core_R@20,core_k_used@20,ext_tp@20,ext_P@20,ext_R@20,ext_k_used@20,core_Hit@20,core_hit_k_used@20,core_tp@50,core_P@50,core_R@50,core_k_used@50,ext_tp@50,ext_P@50,ext_R@50,ext_k_used@50,core_Hit@50,core_hit_k_used@50,max_hop_selected,p90_hop_selected,mean_hop_selected,ablation
contrastive,25,None,24,or_duplicates,24,18,18,32,40,9,0.5,0.28125,0.36,15,0.8333333333333334,0.375,0.5172413793103448,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.5,0.28125,18,15,0.8333333333333334,0.375,18,1,18,9,0.5,0.28125,18,15,0.8333333333333334,0.375,18,1,18,10,9.0,6.083333333333333,budget_sensitivity
contrastive,50,None,49,or_duplicates,49,37,37,32,40,21,0.5675675675675675,0.65625,0.6086956521739131,27,0.7297297297297297,0.675,0.7012987012987014,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.5675675675675675,0.65625,37,27,0.7297297297297297,0.675,37,1,37,17,16.0,10.081632653061224,budget_sensitivity
contrastive,100,None,99,or_duplicates,99,81,81,32,40,24,0.2962962962962963,0.75,0.4247787610619469,30,0.37037037037037035,0.75,0.4958677685950414,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,42,34.0,18.7979797979798,budget_sensitivity
contrastive,150,None,149,or_duplicates,149,131,131,32,40,24,0.183206106870229,0.75,0.294478527607362,30,0.22900763358778625,0.75,0.3508771929824562,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,82,67.20000000000002,31.906040268456376,budget_sensitivity
contrastive,200,None,199,or_duplicates,199,168,168,32,40,24,0.14285714285714285,0.75,0.24,32,0.19047619047619047,0.8,0.3076923076923077,2,0.4,0.0625,5,2,0.4,0.05,5,1,5,7,0.7,0.21875,10,7,0.7,0.175,10,1,10,9,0.45,0.28125,20,15,0.75,0.375,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,119,110.20000000000002,50.14572864321608,budget_sensitivity
