model,rca_max_nodes,rca_max_hops,selected_nodes,mode,S_nodes,S_items,returned_items_total_ranked,gt_core_size,gt_ext_size,core_tp,core_precision,core_recall,core_f1,ext_tp,ext_precision,ext_recall,ext_f1,core_tp@5,core_P@5,core_R@5,core_k_used@5,ext_tp@5,ext_P@5,ext_R@5,ext_k_used@5,core_Hit@5,core_hit_k_used@5,core_tp@10,core_P@10,core_R@10,core_k_used@10,ext_tp@10,ext_P@10,ext_R@10,ext_k_used@10,core_Hit@10,core_hit_k_used@10,core_tp@20,core_P@20,core_R@20,core_k_used@20,ext_tp@20,ext_P@20,ext_R@20,ext_k_used@20,core_Hit@20,core_hit_k_used@20,core_tp@50,core_P@50,core_R@50,core_k_used@50,ext_tp@50,ext_P@50,ext_R@50,ext_k_used@50,core_Hit@50,core_hit_k_used@50,max_hop_selected,p90_hop_selected,mean_hop_selected,ablation
baseline,25,None,24,or_duplicates,24,17,17,32,40,9,0.5294117647058824,0.28125,0.3673469387755102,15,0.8823529411764706,0.375,0.5263157894736842,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,9,0.5294117647058824,0.28125,17,15,0.8823529411764706,0.375,17,1,17,9,0.5294117647058824,0.28125,17,15,0.8823529411764706,0.375,17,1,17,16,14.0,9.416666666666666,budget_sensitivity
baseline,50,None,49,or_duplicates,49,41,41,32,40,21,0.5121951219512195,0.65625,0.5753424657534246,27,0.6585365853658537,0.675,0.6666666666666667,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.5121951219512195,0.65625,41,27,0.6585365853658537,0.675,41,1,41,35,30.200000000000003,16.918367346938776,budget_sensitivity
baseline,100,None,99,or_duplicates,99,82,82,32,40,24,0.2926829268292683,0.75,0.4210526315789473,30,0.36585365853658536,0.75,0.4918032786885247,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,51,42.0,24.95959595959596,budget_sensitivity
baseline,150,None,149,or_duplicates,149,132,132,32,40,24,0.18181818181818182,0.75,0.2926829268292683,30,0.22727272727272727,0.75,0.34883720930232553,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,89,74.20000000000002,37.92617449664429,budget_sensitivity
baseline,200,None,199,or_duplicates,199,174,174,32,40,24,0.13793103448275862,0.75,0.23300970873786406,32,0.1839080459770115,0.8,0.29906542056074764,1,0.2,0.03125,5,4,0.8,0.1,5,1,5,4,0.4,0.125,10,9,0.9,0.225,10,1,10,11,0.55,0.34375,20,17,0.85,0.425,20,1,20,21,0.42,0.65625,50,27,0.54,0.675,50,1,50,126,116.20000000000002,56.21105527638191,budget_sensitivity
